Simulation,Final_Value
642,2083276.3954695493
643,2560281.30782036
644,1267641.5385916794
645,1093730.746541102
646,1394230.3909625998
647,776187.753924022
648,1259958.9887124868
649,1155962.5990062822
650,1013298.2119560629
651,1282411.8624248416
652,786873.0516889745
653,1578191.9493328913
654,1487463.7218052435
655,1462924.6450505094
656,806016.1133882139
657,1035658.9289553235
658,990674.603867715
659,1714420.237336999
660,1247643.7197845357
661,1100401.2594679834
662,1429262.9724501118
663,887064.2267237954
664,1378248.6291776388
665,1424522.75610578
666,2117238.88616605
667,2005955.426189999
668,937630.6304127453
669,1430919.9950637168
670,1046862.9425231937
671,1005263.5761694715
672,1606853.774902539
673,1547495.5077410573
674,1170783.9455636211
675,1268367.4679032913
676,959011.3470667886
677,1063953.450999724
678,870167.508984162
679,1723085.4473626039
680,899881.4569769257
681,1244407.3941509114
682,983629.3245072315
683,663459.2739565975
684,1707568.0136447547
685,1138573.8711364402
686,692633.4332354591
687,1431843.3154807694
688,1912032.4362266776
689,1113533.2373584097
690,2212156.01893855
691,1274608.8299975856
692,807407.7068680814
693,1091843.1388198743
694,1126163.3029068056
695,878113.7569968964
696,1913373.5920253121
697,1347848.4130688517
698,852182.8461265813
699,871441.8900721631
700,1399902.2061449187
701,708251.227842959
702,2468471.8061859948
703,943157.8883762154
704,1426175.0128255347
705,1880976.6551870857
706,1049068.0338748528
707,947797.5719942444
708,1523464.571603112
709,1211062.8700447388
710,1383610.5174624673
711,2234694.901068461
712,1948628.8700935242
713,2447850.287231107
714,1879868.4150487238
715,1961939.1901005406
716,843296.7050738909
717,1191453.1460136136
718,1128390.3689366754
719,1233716.5689503353
720,972918.5360526753
721,1267499.9130043827
722,793218.2290377789
723,1253036.3922393085
724,1235282.1320758797
725,727066.6983231553
726,1522440.1652832124
727,639615.7278326622
728,2233675.583023036
729,2533880.688471412
730,1296209.4644442596
731,998601.1334163093
732,1647764.9308164914
733,859685.8888843355
734,2638141.741782622
735,1280540.1480048362
736,1192074.8865185014
737,1689142.4691733236
738,912003.3662652019
739,1348040.7325177172
740,1596769.4201933956
741,1496410.635465618
742,1068470.494670792
743,544737.1496327735
744,1452057.0847491168
745,1499552.561352574
746,900879.3840097049
747,741652.8829922387
748,1742990.8493178543
749,1560252.9327169415
750,2099837.3357126806
751,1666377.149513409
752,961249.7864225301
753,1686209.8050998757
754,1679140.188826864
755,1577471.8646759451
756,1361289.7494472128
757,1374472.7300344522
758,1164920.3951285505
759,2186123.547490294
760,1443383.4004848674
761,1248666.8749458056
762,785451.2520121069
763,1034145.9403535911
764,2722042.2368527143
765,1223874.882041677
766,1156139.3628044627
767,1006660.5123138259
768,1221121.6624127417
769,1029834.8407549249
770,1034570.8324566929
771,1280780.4901701235
772,945386.3654821988
773,1492825.6123039296
774,1036077.8782346711
775,1289726.8309128096
776,989819.7010442589
777,1486041.6494988904
778,1376126.0195725719
779,2096254.0185336093
780,1249760.6413864843
781,1154306.7247632905
782,1099791.92100617
783,1355073.942685502
784,1053309.4464159273
785,1214857.4996115733
786,640998.5922046993
787,832807.1728192689
788,1091423.8072858227
789,914612.1555374528
790,867691.8549891844
791,747513.8639150733
792,1248258.4405026846
793,1287885.3288541385
794,2171658.4657729785
795,1443856.4447916595
796,1421489.6246594433
797,1445095.991411188
798,2021680.2289657786
799,1330667.1768680608
800,1368274.5846838602
801,2176165.9378302284
802,1067313.0517438666
803,1300707.6442525676
804,1594868.2513264264
805,631094.1741369291
806,1182648.1186071676
807,1324733.065667699
808,958109.0223441933
809,1287274.7190539818
810,1256832.1296513367
811,1063944.0882280562
812,1801851.5865974734
813,852289.4512833231
814,837263.3312492395
815,1014461.6338422392
816,1120156.4312453426
817,1423381.7339014432
818,1346358.8334960886
819,1507299.1746401447
820,692351.116617123
821,758979.7586962215
822,1210141.7609641473
823,1711764.6054486535
824,1796826.2750753483
825,1028085.4709216778
826,1048230.4221991266
827,2044171.3629327815
828,968559.6258925461
829,1350161.6505017695
830,999533.815195951
831,992171.168379114
832,1134253.7764701382
833,846157.9670233541
834,1733922.2019912149
835,975217.5904978013
836,1506117.9965843465
837,1496543.8121028612
838,1310523.4378714084
839,954213.7360314684
840,1882352.6440820715
841,918116.6631631575
842,1193232.4849763666
843,2294085.923548337
844,944446.47241751
845,1160662.3571575123
846,2143776.4658087236
847,1626961.584285164
848,1713851.6444242734
849,1633001.542995912
850,2288487.320181447
851,1417315.267854311
852,1658230.6783557704
853,830333.3804972733
854,1178636.5217227964
855,1228291.3889527041
856,926152.7317896206
857,977809.0675731241
858,1296110.3960571059
859,1508089.3964334584
860,964195.9334646802
861,787381.3029732616
862,2475076.8818387897
863,1136896.0773619018
864,894558.7736186153
865,1465821.4113076262
866,2161814.28879532
867,2236664.5589706604
868,723090.4766719515
869,1750955.8438183244
870,1526311.1636264008
871,1226680.6160385173
872,1197924.4177114803
873,1449828.8111087314
874,1206109.7357458253
875,907542.1101953271
876,1340359.8620503275
877,1385764.207206931
878,1299906.439129739
879,2021442.4642939402
880,1883622.8278391382
881,958681.7980275765
882,1085122.4540177304
883,946722.5969985321
884,747127.4710134489
885,946490.2357180779
886,1186131.5730502913
887,1397990.9206341177
888,1453825.5103275497
889,1904223.1125775257
890,1161415.1790687107
891,1203184.6664903867
892,1193435.8797051744
893,459880.08690681984
894,952504.605489113
895,2055639.0329197499
896,1095992.6840117215
897,1870709.0548801057
898,1462220.6200297272
899,1249465.6992972742
900,1390066.293406596
901,1232061.8200089803
902,1087558.8032466485
903,1189373.5110230108
904,1801949.3324324111
905,1162205.2207166636
906,2332252.6652530693
907,1186102.7261717573
908,1076855.0263834673
909,1123653.9559462748
910,1019629.3482302346
911,1085153.6254467906
912,1414047.3254863177
913,1678172.444773053
914,1484206.7736603415
915,1282585.864034084
916,869852.747465568
917,907264.3209561143
918,1206355.0621455682
919,1211902.4445718664
920,808444.1471820255
921,1337110.4707509903
922,1440622.9626828774
923,1117899.8728687973
924,1386579.1361662229
925,1416575.9032224931
926,1314636.3401117593
927,1171218.3032248078
928,1118510.3068797833
929,1001689.0108184163
930,1246093.6767095882
931,1156962.0073753775
932,1149230.31060293
933,916909.0692861002
934,2028957.8560008148
935,1137150.5728295385
936,1545480.1394540956
937,1156254.4085569938
938,2686415.1186329196
939,1027796.997775692
940,493151.2767514847
941,1754891.8374690867
942,726416.7518212872
943,1133855.2830194063
944,1266967.4861074372
945,1309373.3369378904
946,821293.139598095
947,947397.8134340772
948,837180.8179189548
949,1591084.4128394988
950,956786.2683658636
951,1153199.8168316677
952,895379.7448896497
953,882625.5631190637
954,1264940.7553862797
955,1058277.1395739866
956,1121420.6324004761
957,1114707.508112614
958,1352637.7211270046
959,1002318.2536016284
960,1204352.3417598293
961,1774571.3661500677
962,1789419.0851640997
963,1301493.1743966828
964,1222679.3209329545
965,1293344.9490570603
966,1292819.3929218098
967,1345619.8134727099
968,1568698.0475418216
969,1624768.27502112
970,2153952.0535052773
971,1155570.4887061045
972,1328937.063768086
973,985715.1252220074
974,869825.5148998594
975,2852598.578380494
976,870607.8108383733
977,1679786.471107125
978,1123165.7442883102
979,1643534.625046304
980,832495.8315607487
981,820676.9935918241
982,850034.5808204173
983,1710703.57253188
984,1374931.8813329884
985,1153045.274473905
986,1335477.1035594533
987,1568441.662796122
988,1176144.2529732431
989,1299715.2530214034
990,1147895.9670893052
991,1311898.1730930398
992,1256545.5865164339
993,1168460.5422248524
994,861817.1637190202
995,1343698.753373982
996,1156951.0283040174
997,1425405.4101260204
998,670511.518523119
999,1764906.3735207755
1000,2083447.8012687855
1001,1414371.9844049243
1002,1270572.295909922
1003,1222618.5339113986
1004,1280149.9031685172
1005,1603629.093926098
1006,930065.9324287395
1007,1323413.3928440176
1008,1939107.4439337025
1009,1487988.8991109256
1010,1403358.3799454258
1011,2011022.92356616
1012,1770287.347637635
1013,874293.5034940834
1014,822073.1113032417
1015,1327741.1564760963
1016,1574115.0837059293
1017,1171274.0592773512
1018,996489.0544425764
