Date,EMA_12,EMA_26,MACD,Signal_Line
2017-04-13,18.157106,17.96563346,0.191472542,0.166436517
2017-04-17,18.208782,18.00469765,0.204084356,0.173966085
2017-04-18,18.215277,18.02294223,0.19233477,0.177639822
2017-04-19,18.20308049,18.03131685,0.171763633,0.176464584
2017-04-20,18.17060665,18.02840454,0.142202118,0.169612091
2017-04-21,18.11820562,18.0137079,0.104497721,0.156589217
2017-04-24,18.07663546,18.00143321,0.07520225,0.140311823
2017-04-25,18.00038375,17.97028996,0.030093792,0.118268217
2017-04-26,17.90078635,17.92456483,-0.023778475,0.089858879
2017-04-27,17.80297297,17.87570813,-0.072735155,0.057340072
2017-04-28,17.70882328,17.82498901,-0.116165723,0.022638913
2017-05-01,17.5659275,17.74758246,-0.181654965,-0.018219863
2017-05-02,17.44332313,17.67509481,-0.231771677,-0.060930226
2017-05-03,17.29619642,17.58708775,-0.290891329,-0.106922446
2017-05-04,17.13431997,17.48759973,-0.353279761,-0.156193909
2017-05-05,16.99288615,17.39333309,-0.400446943,-0.205044516
2017-05-08,16.87074973,17.30486393,-0.434114204,-0.250858454
2017-05-09,16.73801891,17.20879989,-0.470780982,-0.294842959
2017-05-10,16.64770817,17.13044428,-0.48273611,-0.33242159
2017-05-11,16.58021455,17.06218912,-0.481974572,-0.362332186
2017-05-12,16.54418164,17.00913812,-0.46495648,-0.382857045
2017-05-15,16.54676921,16.97594277,-0.429173558,-0.392120347
2017-05-16,16.56926638,16.9549841,-0.385717726,-0.390839823
2017-05-17,16.61276375,16.9473556,-0.334591851,-0.379590229
2017-05-18,16.61403091,16.92318113,-0.309150223,-0.365502228
2017-05-19,16.63494923,16.9103529,-0.275403669,-0.347482516
2017-05-22,16.71311083,16.92758599,-0.214475159,-0.320881044
2017-05-23,16.77124757,16.9396907,-0.168443137,-0.290393463
2017-05-24,16.81828635,16.94986174,-0.131575386,-0.258629848
2017-05-25,16.86962698,16.96483497,-0.095207995,-0.225945477
2017-05-26,16.93322297,16.98840282,-0.05517985,-0.191792352
2017-05-30,17.00318874,17.01800265,-0.014813906,-0.156396663
2017-05-31,17.05931356,17.04392838,0.015385176,-0.122040295
2017-06-01,17.08757301,17.05867443,0.028898585,-0.091852519
2017-06-02,17.14902325,17.09040221,0.058621032,-0.061757809
2017-06-05,17.21025057,17.12422434,0.086026237,-0.032201
2017-06-06,17.28205819,17.16517069,0.116887499,-0.0023833
2017-06-07,17.32897229,17.19641729,0.132555,0.02460436
2017-06-08,17.33743821,17.21031237,0.127125848,0.045108658
2017-06-09,17.31521707,17.20903003,0.106187045,0.057324335
2017-06-12,17.2534913,17.18717592,0.066315382,0.059122545
2017-06-13,17.17418508,17.15390369,0.020281388,0.051354313
2017-06-14,17.16384897,17.15042937,0.013419597,0.04376737
2017-06-15,17.09110297,17.11639757,-0.025294594,0.029954977
2017-06-16,17.02108708,17.08081254,-0.059725456,0.01201889
2017-06-19,16.93830442,17.03653011,-0.09822569,-0.010030026
2017-06-20,16.85518078,16.98923164,-0.134050863,-0.034834193
2017-06-21,16.77822982,16.94225148,-0.164021667,-0.060671688
2017-06-22,16.73388673,16.90875136,-0.174864624,-0.083510275
2017-06-23,16.71759651,16.88795498,-0.170358473,-0.100879915
2017-06-26,16.69335081,16.86366198,-0.17031117,-0.114766166
2017-06-27,16.67529687,16.8423537,-0.167056829,-0.125224298
2017-06-28,16.68140507,16.8329201,-0.151515036,-0.130482446
2017-06-29,16.66672743,16.81462976,-0.147902325,-0.133966422
2017-06-30,16.65153872,16.79636095,-0.144822227,-0.136137583
2017-07-03,16.5569944,16.74011204,-0.183117634,-0.145533593
2017-07-05,16.44699526,16.67358522,-0.226589954,-0.161744865
2017-07-06,16.366996,16.61828261,-0.251286613,-0.179653215
2017-07-07,16.21376589,16.52589133,-0.312125439,-0.20614766
2017-07-10,16.11580186,16.45560306,-0.339801203,-0.232878368
